Name,Pos,|,PA,Avg,OBP,Walks,Hits,Doubles,Triples,Home Runs,SO,GO,FO,|||,ABa,BAa,OBPa,Wa,Ha,2Ba,3Ba,HRa,SOf,GOf,FOf
Alan Busenitz,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,5,.600,.667,1,3,1,0,0,1,0,1
Alex Young,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,70,.243,.284,3,17,2,0,3,21,18,14
Alexis Diaz,P,|,0,.000,.000,0,0,0,0,0,0,0,0,|||,50,.120,.241,7,6,1,0,0,29,5,10
Ben Lively,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,21,.238,.238,0,5,0,0,0,2,8,6
Buck Farmer,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,71,.183,.268,8,13,3,0,3,19,15,28
Curt Casali,C,|,45,.158,.273,4,6,0,0,0,11,9,13,|||,0,0,0,0,0,0,0,0,0,0,0
Derek Law,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,75,.227,.341,13,17,0,0,3,19,19,21
Graham Ashcraft,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,164,.232,.317,20,38,10,2,4,33,57,38
Henry Ramos,RF,|,69,.250,.348,8,15,2,1,0,14,16,15,|||,0,0,0,0,0,0,0,0,0,0,0
Hunter Greene,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,178,.287,.359,17,51,15,1,6,59,21,47
Ian Gibaut,P,|,0,.000,.000,0,0,0,0,0,0,0,0,|||,59,.203,.314,8,12,3,0,1,18,14,16
Jake Fraley,RF,|,128,.273,.367,16,30,5,0,5,26,27,28,|||,0,0,0,0,0,0,0,0,0,0,0
Jonathan India,2B,|,178,.298,.388,19,45,12,0,3,32,38,39,|||,0,0,0,0,0,0,0,0,0,0,0
Jose Barrero,SS,|,104,.223,.288,9,21,7,0,1,30,19,25,|||,0,0,0,0,0,0,0,0,0,0,0
Kevin Herget,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,43,.209,.261,2,9,3,0,1,9,9,16
Kevin Newman,SS,|,99,.237,.273,4,22,2,0,2,10,29,33,|||,0,0,0,0,0,0,0,0,0,0,0
Lucas Sims,P,|,0,.000,.000,0,0,0,0,0,0,0,0,|||,33,.091,.279,7,3,2,0,0,14,8,10
Luke Maile,C,|,34,.258,.324,2,8,1,0,1,12,7,4,|||,10,.400,.400,0,4,1,0,0,0,1,5
Luke Weaver,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,111,.288,.342,8,32,8,0,8,27,23,29
Matt McLain,SS,|,5,.250,.400,1,1,1,0,0,1,1,1,|||,0,0,0,0,0,0,0,0,0,0,0
Nick Senzel,CF,|,110,.276,.355,11,27,5,0,3,20,23,28,|||,0,0,0,0,0,0,0,0,0,0,0
Silvino Bracho,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,3,.000,.000,0,0,0,0,0,1,0,2
Spencer Steer,3B,|,161,.254,.335,16,36,10,1,5,36,27,44,|||,0,0,0,0,0,0,0,0,0,0,0
Stuart Fairchild,LF,|,92,.213,.330,11,16,5,1,1,28,13,21,|||,0,0,0,0,0,0,0,0,0,0,0
Tyler Stephenson,C,|,163,.255,.337,15,37,7,0,2,47,33,28,|||,0,0,0,0,0,0,0,0,0,0,0
Wil Myers,RF,|,116,.198,.252,8,21,3,0,3,44,24,19,|||,0,0,0,0,0,0,0,0,0,0,0
