Name,Pos,|,PA,Avg,OBP,Walks,Hits,Doubles,Triples,Home Runs,SO,GO,FO,|||,ABa,BAa,OBPa,Wa,Ha,2Ba,3Ba,HRa,SOf,GOf,FOf
Adam Frazier,2B,|,136,.227,.324,17,27,5,0,4,14,37,41,|||,0,0,0,0,0,0,0,0,0,0,0
Adley Rutschman,C,|,181,.286,.409,32,42,6,0,6,26,35,46,|||,0,0,0,0,0,0,0,0,0,0,0
Anthony Santander,RF,|,164,.262,.329,14,38,12,0,6,42,19,49,|||,0,0,0,0,0,0,0,0,0,0,0
Austin Hays,LF,|,140,.300,.343,9,39,9,1,4,35,29,28,|||,0,0,0,0,0,0,0,0,0,0,0
Austin Voth,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,83,.253,.300,5,21,3,0,5,20,16,27
Bryan Baker,P,|,0,.000,.000,0,0,0,0,0,0,0,0,|||,63,.159,.286,11,10,4,0,0,25,11,20
Cedric Mullins,CF,|,173,.267,.357,21,40,8,3,6,31,32,49,|||,0,0,0,0,0,0,0,0,0,0,0
Cionel Perez,P,|,0,.000,.000,0,0,0,0,0,0,0,0,|||,63,.349,.432,9,22,8,0,0,12,16,16
Cole Irvin,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,52,.327,.413,8,17,3,1,2,13,9,15
Danny Coulombe,P,|,0,.000,.000,0,0,0,0,0,0,0,0,|||,56,.232,.295,3,13,1,0,2,20,8,15
Dean Kremer,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,164,.293,.352,13,48,4,1,7,32,34,50
Felix Bautista,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,68,.162,.296,13,11,0,0,1,36,11,10
Grayson Rodriguez,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,152,.309,.376,17,47,7,1,9,44,32,30
Gunnar Henderson,3B,|,137,.180,.336,25,20,4,1,4,41,26,24,|||,0,0,0,0,0,0,0,0,0,0,0
James McCann,C,|,56,.204,.232,1,11,2,0,2,9,16,18,|||,0,0,0,0,0,0,0,0,0,0,0
Joey Ortiz,2B,|,13,.167,.154,0,2,0,0,0,4,4,3,|||,0,0,0,0,0,0,0,0,0,0,0
Jorge Mateo,SS,|,126,.259,.309,8,29,6,0,6,24,32,32,|||,0,0,0,0,0,0,0,0,0,0,0
Kyle Bradish,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,102,.275,.348,10,28,5,0,3,24,31,20
Kyle Gibson,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,200,.285,.338,16,57,9,3,6,36,58,52
Mike Baumann,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,76,.184,.287,11,14,1,0,3,24,16,22
Ryan McKenna,LF,|,43,.308,.349,1,12,3,0,1,13,7,8,|||,0,0,0,0,0,0,0,0,0,0,0
Ryan Mountcastle,1B,|,181,.244,.271,7,42,10,1,8,43,36,53,|||,0,0,0,0,0,0,0,0,0,0,0
Ryan O'Hearn,1B,|,28,.208,.286,3,5,1,0,0,5,5,10,|||,0,0,0,0,0,0,0,0,0,0,0
Terrin Vavra,RF,|,35,.214,.333,5,6,0,0,0,8,8,8,|||,0,0,0,0,0,0,0,0,0,0,0
Tyler Wells,P,|,0,0,0,0,0,0,0,0,0,0,0,|||,164,.152,.201,9,25,3,0,8,39,39,61
Yennier Cano,P,|,0,.000,.000,0,0,0,0,0,0,0,0,|||,60,.067,.082,0,4,1,0,0,22,25,9
